                       	basic_memmem	twoway_memmem	memmem
String MUGIB[<>Y2U83D[F8TIG2I?7C20, offset 85162:	107795	2210.43	8194.74
String @OKI?1[IIPRCZ9XH, offset 284:	243.902	115.348	80.6055
String 1Z0, offset 5676:	3571.11	125.504	4280.17
String [S=SVINNH1?WXSEW3O6XF38?P2QARRU, offset 15579:	18040.7	558.77	1091.49
String R<58, offset 303:	287.254	59.7578	180.789
String 1>QG79OA55IUOD<9?1?K, offset 138567:	86417.8	3326.23	16085.7
String 804S@ERR@FE@L, offset 58219:	36404.2	1501.55	8868.28
String Z8, offset 20884:	26695.3	614.945	30395.1
String 1, offset 163838:	102369	3823.55	3573.59
String G=9, offset 192:	157.453	49.7344	167.742
String JKZE5FVUNVTA5QCV2QL3NU[Y>N, offset 144816:	189225	81815.7	14523.8
String 4, offset 163838:	103041	3802.43	3708.99
String K37<GE0P=EAC[U5, offset 97404:	124860	54288.3	13573.6
String DC9Y7?ZDXW@AP6V8Z, offset 140:	123.844	106.949	69.7617
String 9, offset 163838:	102360	3814.11	3673.95
String OY2BY64YX@1BIE=5C39G5, offset 160474:	208325	3622.82	17921.7
String OPW6Y>4LK1HIAM<E>NH=EVQEFI>, offset 19406:	22305.9	677.434	1497.41
String DINR@WHLWAHNFB@[C9M=PXI, offset 24871:	29342.1	772.434	2206.82
String G8K>X?PEKV[6CRO99[21, offset 454:	382.016	117.281	98.4844
String D[KZIJIJH2D>RIMM@YH=[6, offset 1808:	1328.45	139.906	238.59
String 14C7=EOB, offset 940:	610.836	31.582	236.531
String 2[E, offset 574:	377.148	26.3125	418.531
String 6INY>8, offset 7757:	4847.3	164.34	2322.13
