                       	basic_strstr	twoway_strstr	__strstr_sse2_unaligned	__strstr_sse2
Length 16384/ 32, alignment  1/11, found:	11640.7	8221.44	1847.81	2265.28
Length 16384/ 32, alignment 14/ 5, fail :	11584.6	7720.66	2039.25	2243.03
Length 16384/ 64, alignment  1/11, found:	14954.1	6214.5	2713.81	2197.28
Length 16384/ 64, alignment 14/ 5, fail :	13086.5	5798	2558.88	2101.78
Length 16384/128, alignment  1/11, found:	15513.4	5349.53	2578.81	2204.59
Length 16384/128, alignment 14/ 5, fail :	13991.5	5064.69	2517.47	2188.59
Length 16384/256, alignment  1/11, found:	15060.9	5733.28	3605.84	2314.06
Length 16384/256, alignment 14/ 5, fail :	13532.1	5197	3350.12	2401.78
Length 32768/ 16, alignment  1/11, found:	28927.4	94329.9	7128.78	6811.94
Length 32768/ 16, alignment 14/ 5, fail :	27963.3	94899.9	6731.03	6777.09
Length 32768/ 32, alignment  1/11, found:	25319.8	18565.1	4187.94	5319.62
Length 32768/ 32, alignment 14/ 5, fail :	25064.3	18415.2	4201.38	5248.25
Length 32768/ 64, alignment  1/11, found:	26518.6	15775.2	6561.38	3426.5
Length 32768/ 64, alignment 14/ 5, fail :	25035.6	14442.6	6334.66	3321.38
Length 32768/128, alignment  1/11, found:	30382.1	16155.6	6243.22	4775.44
Length 32768/128, alignment 14/ 5, fail :	30166.9	15578.5	5325.75	4337.28
Length 32768/256, alignment  1/11, found:	27920.2	13540.3	8580.59	4337.53
Length 32768/256, alignment 14/ 5, fail :	33293.7	12320.5	7369.25	3630.22
Length 65536/ 16, alignment  1/11, found:	52976.8	190626	6332.12	14214.9
Length 65536/ 16, alignment 14/ 5, fail :	52873	191119	7221.69	15304
Length 65536/ 32, alignment  1/11, found:	50986.3	35574.1	7036.44	7528.94
Length 65536/ 32, alignment 14/ 5, fail :	51421.2	35479.5	6992.44	7428.34
Length 65536/ 64, alignment  1/11, found:	52640.9	30373.1	11483.4	7268.62
Length 65536/ 64, alignment 14/ 5, fail :	53217.1	30308.4	11126.1	7332.25
Length 65536/128, alignment  1/11, found:	58689.7	18511.5	12442.3	7122.34
Length 65536/128, alignment 14/ 5, fail :	52809.5	17435.7	12301.7	6978.03
Length 65536/256, alignment  1/11, found:	79697.9	16957.6	18611.2	5403.22
Length 65536/256, alignment 14/ 5, fail :	76714.1	15411.5	17864.6	5171.28
Length 65536/ 64, complex needle 1:	1.76251e+06	29195.5	537926	526789
Length 65536/ 64, complex needle 2:	2.15765e+06	171098	627311	600585
Length 65536/ 64, complex needle 3:	598661	962259	261285	11097.3
Length 65536/256, complex needle 1:	4.72859e+06	19548.5	636781	622265
Length 65536/256, complex needle 2:	6.65875e+06	152592	652797	619421
Length 65536/256, complex needle 3:	596497	959165	264040	3788.19
Length 65536/1024, complex needle 1:	2.03648e+07	11420.6	113408	12344.5
Length 65536/1024, complex needle 2:	2.26031e+07	152564	203644	157266
Length 65536/1024, complex needle 3:	613955	961532	245756	952509
