
Results For: strncmp
len,align1,align2,strlen
1024,4072,4048,1024,0.889
1024,4032,0,1024,0.936
1024,4016,0,1024,0.957
1024,4056,4016,1024,0.89
1024,4000,0,1024,0.956
1024,3984,0,1024,0.957
1024,4040,3984,1024,0.893
2048,0,0,2048,1.097
2048,2048,0,2048,1.097
2048,2047,2048,2048,0.857
2048,4080,0,2048,1.091
2048,4088,4080,2048,0.884
2048,4064,0,2048,1.093
2048,4048,0,2048,1.093
2048,4072,4048,2048,0.867
2048,4032,0,2048,1.091
2048,4016,0,2048,1.089
2048,4056,4016,2048,0.872
2048,4000,0,2048,1.092
2048,3984,0,2048,1.089
2048,4040,3984,2048,0.873
4096,0,0,4096,1.132
4096,2048,2047,4096,0.865
4096,2047,2048,4096,0.868
4096,4080,0,4096,1.133
4096,4088,4080,4096,0.87
4096,4064,0,4096,1.137
4096,4048,0,4096,1.13
4096,4072,4048,4096,0.866
4096,4032,0,4096,1.134
4096,4016,0,4096,1.132
4096,4056,4016,4096,0.869
4096,4000,0,4096,1.132
4096,3984,0,4096,1.131
4096,4040,3984,4096,0.871
65,0,0,1,0.938
65,1,0,1,0.897
65,2048,2047,1,0.881
65,2047,2048,1,0.817
65,4095,0,1,0.818
65,4080,0,1,0.943
65,4088,4080,1,1.002
65,4064,0,1,0.943
65,4048,0,1,0.925
65,4072,4048,1,0.881
65,4032,0,1,0.923
65,4016,0,1,0.952
65,4056,4016,1,0.889
65,4000,0,1,0.935
65,3984,0,1,0.915
65,4040,3984,1,0.908
66,0,0,2,0.948
66,2,0,2,0.9
66,2048,2047,2,0.906
66,2047,2048,2,0.817
66,4094,0,2,0.814
66,4080,0,2,0.946
66,4088,4080,2,1.003
66,4064,0,2,0.939
66,4048,0,2,0.94
66,4072,4048,2,0.885
66,4032,0,2,0.93
66,4016,0,2,0.944
66,4056,4016,2,0.888
66,4000,0,2,0.903
66,3984,0,2,0.907
66,4040,3984,2,0.893
67,0,0,3,0.95
67,3,0,3,0.893
67,2048,2047,3,0.892
67,2047,2048,3,0.813
67,4093,0,3,0.815
67,4080,0,3,0.948
67,4088,4080,3,1.001
67,4064,0,3,0.944
67,4048,0,3,0.925
67,4072,4048,3,0.886
67,4032,0,3,0.931
67,4016,0,3,0.946
67,4056,4016,3,0.89
67,4000,0,3,0.92
67,3984,0,3,0.913
67,4040,3984,3,0.879
68,0,0,4,0.93
68,4,0,4,0.892
68,2048,2047,4,0.896
68,2047,2048,4,0.818
68,4092,0,4,0.817
68,4080,0,4,0.948
68,4088,4080,4,1.004
68,4064,0,4,0.943
68,4048,0,4,0.909
68,4072,4048,4,0.862
68,4032,0,4,0.914
68,4016,0,4,0.946
68,4056,4016,4,0.902
68,4000,0,4,0.923
68,3984,0,4,0.937
68,4040,3984,4,0.887
69,0,0,5,0.948
69,5,0,5,0.902
69,2048,2047,5,0.899
69,2047,2048,5,0.814
69,4091,0,5,0.814
69,4080,0,5,0.95
69,4088,4080,5,1.002
69,4064,0,5,0.942
69,4048,0,5,0.931
69,4072,4048,5,0.934
69,4032,0,5,0.899
69,4016,0,5,0.945
69,4056,4016,5,0.89
69,4000,0,5,0.921
69,3984,0,5,0.924
