Results For: strchrnul
alignment,length ,max_char ,pos  ,rand ,rand-addr ,seek_char   ,__strchrnul_evex ,__strchrnul_evex512 
1        ,512    ,127      ,800  ,0    ,0         ,0           ,19.114           ,13.995              ,1.366               
1        ,512    ,127      ,832  ,0    ,0         ,0           ,19.659           ,14.178              ,1.387               
1        ,544    ,127      ,256  ,0    ,0         ,0           ,13.274           ,7.737               ,1.716               
1        ,544    ,127      ,512  ,0    ,0         ,0           ,19.736           ,13.915              ,1.418               
1        ,576    ,127      ,256  ,0    ,0         ,0           ,12.97            ,7.639               ,1.698               
1        ,576    ,127      ,512  ,0    ,0         ,0           ,19.361           ,13.862              ,1.397               
1        ,6      ,127      ,5    ,0    ,0         ,0           ,3.452            ,3.781               ,0.913               
1        ,6      ,127      ,5    ,0    ,0         ,23          ,3.41             ,3.853               ,0.885               
1        ,608    ,127      ,512  ,0    ,0         ,0           ,19.779           ,14.009              ,1.412               
1        ,62     ,127      ,63   ,0    ,0         ,0           ,5.053            ,3.724               ,1.357               
1        ,63     ,127      ,62   ,0    ,0         ,0           ,5.074            ,3.804               ,1.334               
1        ,64     ,127      ,128  ,0    ,0         ,0           ,5.203            ,5.775               ,0.901               
1        ,64     ,127      ,160  ,0    ,0         ,0           ,5.179            ,5.735               ,0.903               
1        ,64     ,127      ,192  ,0    ,0         ,0           ,5.15             ,5.707               ,0.902               
1        ,64     ,127      ,224  ,0    ,0         ,0           ,5.191            ,5.67                ,0.916               
1        ,64     ,127      ,256  ,0    ,0         ,0           ,5.224            ,5.754               ,0.908               
1        ,64     ,127      ,288  ,0    ,0         ,0           ,5.172            ,5.677               ,0.911               
1        ,64     ,127      ,32   ,0    ,0         ,0           ,5.16             ,3.793               ,1.36                
1        ,64     ,127      ,320  ,0    ,0         ,0           ,5.149            ,5.666               ,0.909               
1        ,64     ,127      ,352  ,0    ,0         ,0           ,5.172            ,5.761               ,0.898               
1        ,64     ,127      ,384  ,0    ,0         ,0           ,5.135            ,5.651               ,0.909               
1        ,64     ,127      ,96   ,0    ,0         ,0           ,5.196            ,5.701               ,0.912               
1        ,640    ,127      ,512  ,0    ,0         ,0           ,19.491           ,14.007              ,1.392               
1        ,672    ,127      ,512  ,0    ,0         ,0           ,19.62            ,13.95               ,1.406               
1        ,7      ,127      ,6    ,0    ,0         ,0           ,3.432            ,3.783               ,0.907               
1        ,7      ,127      ,6    ,0    ,0         ,23          ,3.406            ,3.863               ,0.882               
1        ,704    ,127      ,1024 ,0    ,0         ,0           ,25.605           ,15.658              ,1.635               
1        ,704    ,127      ,512  ,0    ,0         ,0           ,19.655           ,13.976              ,1.406               
1        ,736    ,127      ,1024 ,0    ,0         ,0           ,25.856           ,15.526              ,1.665               
1        ,736    ,127      ,512  ,0    ,0         ,0           ,19.792           ,14.221              ,1.392               
1        ,768    ,127      ,1024 ,0    ,0         ,0           ,25.173           ,17.248              ,1.459               
1        ,768    ,127      ,512  ,0    ,0         ,0           ,19.94            ,13.934              ,1.431               
1        ,7872   ,127      ,8192 ,0    ,0         ,0           ,193.693          ,139.836             ,1.385               
1        ,7904   ,127      ,8192 ,0    ,0         ,0           ,194.602          ,138.784             ,1.402               
1        ,7936   ,127      ,8192 ,0    ,0         ,0           ,196.584          ,142.014             ,1.384               
1        ,7968   ,127      ,8192 ,0    ,0         ,0           ,193.908          ,142.523             ,1.361               
