
Results For: strcmp
length, align1, align2
   152,      0,      0, 0.909
   152,    152,      0, 0.721
   152,   2048,   2047, 0.809
   152,   2047,   2048, 0.733
   152,   3944,      0, 0.725
   152,   4080,      0, 0.908
   152,   4088,   4080, 0.795
   152,   4064,      0, 0.908
   152,   4048,      0, 0.901
   152,   4072,   4048, 0.742
   152,   4032,      0,   0.9
   152,   4016,      0, 0.903
   152,   4056,   4016, 0.744
   152,   4000,      0, 0.898
   152,   3984,      0, 0.903
   152,   4040,   3984, 0.745
   160,      0,      0,  0.93
   160,    160,      0, 0.921
   160,   2048,   2047, 0.805
   160,   2047,   2048, 0.728
   160,   3936,      0, 0.921
   160,   4080,      0, 0.931
   160,   4088,   4080, 0.799
   160,   4064,      0, 0.931
   160,   4048,      0,  0.93
   160,   4072,   4048, 0.741
   160,   4032,      0,  0.93
   160,   4016,      0, 0.926
   160,   4056,   4016, 0.744
   160,   4000,      0,  0.93
   160,   3984,      0, 0.926
   160,   4040,   3984, 0.743
   192,      0,      0, 0.966
   192,    192,      0, 0.964
   192,   2048,   2047, 0.831
   192,   2047,   2048, 0.725
   192,   3904,      0, 0.968
   192,   4080,      0, 0.971
   192,   4088,   4080, 0.798
   192,   4064,      0, 0.973
   192,   4048,      0, 0.971
   192,   4072,   4048, 0.764
   192,   4032,      0,  0.97
   192,   4016,      0, 0.967
   192,   4056,   4016,  0.77
   192,   4000,      0, 0.971
   192,   3984,      0, 0.968
   192,   4040,   3984,  0.76
   224,      0,      0,  1.01
   224,    224,      0, 1.006
   224,   2048,   2047, 0.799
   224,   2047,   2048, 0.745
   224,   3872,      0, 1.004
   224,   4080,      0, 1.014
   224,   4088,   4080, 0.782
   224,   4064,      0, 1.013
   224,   4048,      0, 1.012
   224,   4072,   4048, 0.759
   224,   4032,      0, 1.013
   224,   4016,      0, 1.006
   224,   4056,   4016, 0.785
   224,   4000,      0, 1.011
   224,   3984,      0, 1.012
   224,   4040,   3984, 0.782
   256,      0,      0, 1.033
   256,    256,      0, 1.036
   256,   2048,   2047, 0.825
   256,   2047,   2048,  0.77
   256,   3840,      0, 1.041
   256,   4080,      0, 1.042
   256,   4088,   4080, 0.806
   256,   4064,      0, 1.043
   256,   4048,      0, 1.041
   256,   4072,   4048, 0.791
   256,   4032,      0, 1.043
   256,   4016,      0,  1.04
   256,   4056,   4016, 0.769
   256,   4000,      0, 1.046
   256,   3984,      0, 1.039
   256,   4040,   3984, 0.784
   288,      0,      0, 1.076
   288,    288,      0, 1.071
   288,   2048,   2047, 0.835
   288,   2047,   2048, 0.789
   288,   3808,      0, 1.081
   288,   4080,      0, 1.086
   288,   4088,   4080, 0.824
   288,   4064,      0, 1.084
   288,   4048,      0, 1.084
   288,   4072,   4048, 0.794
   288,   4032,      0, 1.086
   288,   4016,      0, 1.081
   288,   4056,   4016, 0.797
   288,   4000,      0, 1.088
   288,   3984,      0, 1.076
   288,   4040,   3984, 0.796
   320,      0,      0, 1.071
   320,    320,      0,  1.08
   320,   2048,   2047, 0.849
   320,   2047,   2048, 0.807
   320,   3776,      0, 1.077
   320,   4080,      0, 1.088
   320,   4088,   4080, 0.837
   320,   4064,      0, 1.077
   320,   4048,      0, 1.087
   320,   4072,   4048, 0.808
   320,   4032,      0, 1.085
   320,   4016,      0, 1.087
   320,   4056,   4016, 0.814
   320,   4000,      0, 1.087
   320,   3984,      0, 1.085
   320,   4040,   3984, 0.818
   352,      0,      0, 1.089
   352,    352,      0, 1.098
   352,   2048,   2047,  0.86
   352,   2047,   2048,  0.82
   352,   3744,      0, 1.098
   352,   4080,      0, 1.098
   352,   4088,   4080, 0.845
   352,   4064,      0, 1.095
   352,   4048,      0, 1.099
   352,   4072,   4048,  0.83
   352,   4032,      0, 1.099
   352,   4016,      0, 1.102
   352,   4056,   4016, 0.824
   352,   4000,      0, 1.103
   352,   3984,      0, 1.098
   352,   4040,   3984, 0.824
   384,      0,      0, 1.106
   384,    384,      0, 1.106
   384,   2048,   2047, 0.871
   384,   2047,   2048, 0.834
   384,   3712,      0, 1.112
   384,   4080,      0, 1.109
   384,   4088,   4080, 0.861
   384,   4064,      0,  1.11
   384,   4048,      0, 1.108
   384,   4072,   4048, 0.846
   384,   4032,      0,  1.11
   384,   4016,      0, 1.104
   384,   4056,   4016, 0.839
   384,   4000,      0, 1.112
   384,   3984,      0, 1.107
   384,   4040,   3984, 0.837
   416,      0,      0, 1.113
   416,    416,      0, 1.123
   416,   2048,   2047, 0.876
   416,   2047,   2048,  0.84
   416,   3680,      0,  1.12
   416,   4080,      0,  1.12
   416,   4088,   4080, 0.863
   416,   4064,      0, 1.118
   416,   4048,      0, 1.116
   416,   4072,   4048, 0.853
   416,   4032,      0, 1.119
   416,   4016,      0, 1.122
   416,   4056,   4016, 0.847
   416,   4000,      0, 1.121
   416,   3984,      0, 1.122
   416,   4040,   3984, 0.848
   448,      0,      0, 1.125
   448,    448,      0, 1.133
   448,   2048,   2047, 0.888
   448,   2047,   2048, 0.855
