combined/run1/order0-0//bench-strnlen0.out
combined/run1/order0-0//bench-strnlen1.out
combined/run1/order0-0//bench-strnlen2.out
combined/run1/order0-0//bench-strnlen3.out
combined/run1/order0-0//bench-strnlen4.out
combined/run1/order0-0//bench-strnlen5.out
combined/run1/order0-0//bench-strnlen6.out
combined/run1/order0-0//bench-strnlen7.out
combined/run1/order0-0//bench-strnlen8.out
combined/run1/order0-0//bench-strnlen9.out

Results For: strnlen
len ,align ,max_char ,maxlen ,__strnlen_evex ,__strnlen_evex_sunil 
5000,1     ,127      ,1024   ,20.616         ,22.877               ,0.901 
1   ,0     ,127      ,5000   ,3.245          ,3.555                ,0.913 
5000,0     ,127      ,1      ,3.432          ,4.81                 ,0.714 
2   ,0     ,127      ,5000   ,3.153          ,3.777                ,0.835 
5000,0     ,127      ,2      ,3.448          ,4.877                ,0.707 
3   ,0     ,127      ,5000   ,3.137          ,3.918                ,0.801 
5000,0     ,127      ,3      ,3.12           ,5.168                ,0.604 
5   ,0     ,127      ,5000   ,3.124          ,3.41                 ,0.916 
5000,0     ,127      ,5      ,3.201          ,4.965                ,0.645 
6   ,0     ,127      ,5000   ,3.17           ,3.765                ,0.842 
5000,0     ,127      ,6      ,3.12           ,4.888                ,0.638 
7   ,0     ,127      ,5000   ,3.1            ,3.754                ,0.826 
5000,0     ,127      ,7      ,3.152          ,4.885                ,0.645 
1   ,1     ,127      ,5000   ,3.202          ,3.552                ,0.902 
5000,1     ,127      ,1      ,3.33           ,4.922                ,0.677 
2   ,2     ,127      ,5000   ,3.113          ,3.53                 ,0.882 
5000,2     ,127      ,2      ,3.281          ,4.798                ,0.684 
3   ,3     ,127      ,5000   ,3.125          ,3.663                ,0.853 
5000,3     ,127      ,3      ,3.335          ,4.803                ,0.694 
4   ,4     ,127      ,5000   ,3.008          ,3.484                ,0.863 
5000,4     ,127      ,4      ,3.112          ,4.859                ,0.64  
5   ,5     ,127      ,5000   ,3.107          ,3.581                ,0.868 
5000,5     ,127      ,5      ,3.292          ,4.806                ,0.685 
6   ,6     ,127      ,5000   ,3.109          ,3.523                ,0.882 
5000,6     ,127      ,6      ,3.172          ,4.923                ,0.644 
7   ,7     ,127      ,5000   ,3.02           ,3.472                ,0.87  
5000,7     ,127      ,7      ,3.165          ,4.802                ,0.659 
16  ,0     ,127      ,16     ,2.93           ,3.104                ,0.944 
16  ,1     ,127      ,16     ,2.932          ,3.118                ,0.94  
16  ,64    ,127      ,16     ,2.932          ,3.305                ,0.887 
48  ,0     ,127      ,16     ,3.113          ,5.076                ,0.613 
48  ,1     ,127      ,16     ,3.047          ,4.702                ,0.648 
48  ,64    ,127      ,16     ,3.105          ,4.781                ,0.649 
16  ,0     ,127      ,48     ,3.122          ,3.652                ,0.855 
16  ,1     ,127      ,48     ,3.366          ,3.682                ,0.914 
16  ,64    ,127      ,48     ,3.185          ,3.772                ,0.844 
80  ,0     ,127      ,16     ,3.095          ,4.742                ,0.653 
80  ,1     ,127      ,16     ,3.066          ,4.771                ,0.643 
80  ,64    ,127      ,16     ,3.19           ,4.905                ,0.65  
16  ,0     ,127      ,80     ,3.009          ,3.735                ,0.805 
16  ,1     ,127      ,80     ,2.994          ,3.438                ,0.871 
16  ,64    ,127      ,80     ,3.1            ,3.383                ,0.916 
112 ,0     ,127      ,16     ,3.334          ,5.019                ,0.664 
112 ,1     ,127      ,16     ,3.104          ,4.892                ,0.635 
112 ,64    ,127      ,16     ,3.156          ,4.95                 ,0.638 
16  ,0     ,127      ,112    ,3.054          ,3.781                ,0.808 
16  ,1     ,127      ,112    ,3.147          ,3.638                ,0.865 
16  ,64    ,127      ,112    ,3.05           ,3.446                ,0.885 
144 ,0     ,127      ,16     ,3.29           ,4.817                ,0.683 
144 ,1     ,127      ,16     ,3.077          ,4.847                ,0.635 
144 ,64    ,127      ,16     ,3.1            ,4.807                ,0.645 
16  ,0     ,127      ,144    ,3.179          ,3.72                 ,0.855 
16  ,1     ,127      ,144    ,3.112          ,3.551                ,0.876 
16  ,64    ,127      ,144    ,3.036          ,3.3                  ,0.92  
176 ,0     ,127      ,16     ,3.316          ,4.899                ,0.677 
176 ,1     ,127      ,16     ,3.284          ,4.72                 ,0.696 
176 ,64    ,127      ,16     ,3.05           ,4.943                ,0.617 
16  ,0     ,127      ,176    ,3.079          ,3.701                ,0.832 
16  ,1     ,127      ,176    ,3.069          ,3.599                ,0.853 
