combined/run1/order0-0//bench-strnlen0.out
combined/run1/order0-0//bench-strnlen1.out
combined/run1/order0-0//bench-strnlen2.out
combined/run1/order0-0//bench-strnlen3.out
combined/run1/order0-0//bench-strnlen4.out
combined/run1/order0-0//bench-strnlen5.out
combined/run1/order0-0//bench-strnlen6.out
combined/run1/order0-0//bench-strnlen7.out
combined/run1/order0-0//bench-strnlen8.out
combined/run1/order0-0//bench-strnlen9.out

Results For: strnlen
len ,align ,max_char ,maxlen ,__strnlen_evex512 ,__strnlen_evex512_orig 
512 ,64    ,127      ,320    ,6.519             ,7.475                  ,0.872 
736 ,0     ,127      ,512    ,10.671            ,9.829                  ,1.086 
736 ,1     ,127      ,512    ,10.533            ,13.458                 ,0.783 
736 ,64    ,127      ,512    ,10.789            ,11.357                 ,0.95  
512 ,0     ,127      ,736    ,12.238            ,12.143                 ,1.008 
512 ,1     ,127      ,736    ,12.436            ,12.199                 ,1.019 
512 ,64    ,127      ,736    ,12.47             ,12.726                 ,0.98  
288 ,0     ,127      ,512    ,6.828             ,7.453                  ,0.916 
288 ,1     ,127      ,512    ,6.87              ,7.625                  ,0.901 
288 ,64    ,127      ,512    ,6.813             ,7.468                  ,0.912 
512 ,0     ,127      ,288    ,6.439             ,7.73                   ,0.833 
