Geometric mean of N = 30 runs.
Benchmarked on Tigerlake: https://ark.intel.com/content/www/us/en/ark/products/208921/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz-with-ipu.html

Aggregate Geometric Mean of New / Old: 0.9996456480425209

Results For: memchr
 len, align,  pos, seek_char, invert_pos, New / Old
  17,  2048,   16,        23,          0,     0.998
  17,  2048,   16,         0,          0,       1.0
  17,  2064,   16,        23,          0,     0.994
  17,  2064,   16,         0,          0,     1.006
  15,  2048,   16,        23,          0,       1.0
  15,  2048,   16,         0,          0,     0.998
  15,  2064,   16,        23,          0,     0.993
  15,  2064,   16,         0,          0,     0.995
  15,  4081,   16,        23,          0,     1.004
  15,  4081,   16,         0,          0,     0.999
  17,  4081,   16,        23,          0,     0.999
  17,  4081,   16,         0,          0,       1.0
  18,     0,   17,        23,          0,     0.998
  18,     0,   17,         0,          0,     0.997
  18,    17,   17,        23,          0,       1.0
  18,    17,   17,         0,          0,       1.0
  16,     0,   17,        23,          0,     1.001
  16,     0,   17,         0,          0,     1.002
  16,    17,   17,        23,          0,     1.002
  16,    17,   17,         0,          0,     1.002
  18,  2048,   17,        23,          0,     1.003
  18,  2048,   17,         0,          0,     1.001
  18,  2065,   17,        23,          0,     1.001
  18,  2065,   17,         0,          0,       1.0
  16,  2048,   17,        23,          0,       1.0
  16,  2048,   17,         0,          0,       1.0
  16,  2065,   17,        23,          0,     1.002
  16,  2065,   17,         0,          0,     1.004
  16,  4081,   17,        23,          0,     0.999
  16,  4081,   17,         0,          0,     1.002
  18,  4081,   17,        23,          0,       1.0
  18,  4081,   17,         0,          0,       1.0
  19,     0,   18,        23,          0,     0.998
  19,     0,   18,         0,          0,     1.002
  19,    18,   18,        23,          0,       1.0
  19,    18,   18,         0,          0,       1.0
  17,     0,   18,        23,          0,     1.003
  17,     0,   18,         0,          0,     1.001
  17,    18,   18,        23,          0,       1.0
  17,    18,   18,         0,          0,     1.001
  19,  2048,   18,        23,          0,     0.998
  19,  2048,   18,         0,          0,       1.0
  19,  2066,   18,        23,          0,     0.999
  19,  2066,   18,         0,          0,       1.0
  17,  2048,   18,        23,          0,     1.001
  17,  2048,   18,         0,          0,     0.998
  17,  2066,   18,        23,          0,     0.998
  17,  2066,   18,         0,          0,     1.006
  17,  4081,   18,        23,          0,       1.0
  17,  4081,   18,         0,          0,     0.998
  19,  4081,   18,        23,          0,       1.0
  19,  4081,   18,         0,          0,       1.0
  20,     0,   19,        23,          0,       1.0
  20,     0,   19,         0,          0,       1.0
  20,    19,   19,        23,          0,     1.001
  20,    19,   19,         0,          0,       1.0
  18,     0,   19,        23,          0,       1.0
  18,     0,   19,         0,          0,       1.0
  18,    19,   19,        23,          0,     1.003
  18,    19,   19,         0,          0,     1.006
  20,  2048,   19,        23,          0,       1.0
  20,  2048,   19,         0,          0,       1.0
  20,  2067,   19,        23,          0,       1.0
  20,  2067,   19,         0,          0,     1.005
  18,  2048,   19,        23,          0,       1.0
  18,  2048,   19,         0,          0,     0.998
  18,  2067,   19,        23,          0,       1.0
  18,  2067,   19,         0,          0,       1.0
  18,  4081,   19,        23,          0,     1.001
  18,  4081,   19,         0,          0,       1.0
  20,  4081,   19,        23,          0,       1.0
  20,  4081,   19,         0,          0,     1.001
  21,     0,   20,        23,          0,       1.0
  21,     0,   20,         0,          0,       1.0
  21,    20,   20,        23,          0,       1.0
