
Results For: wcscpy
align1,align2 ,len  ,max_char   ,__wcscpy_evex ,__wcscpy_ssse3 
5     ,7      ,80   ,1273       ,16.614        ,26.616         ,0.624 
7     ,5      ,80   ,1273       ,14.384        ,26.248         ,0.548 
0     ,4      ,84   ,1273       ,16.62         ,22.583         ,0.736 
4     ,0      ,84   ,2147483647 ,15.674        ,20.834         ,0.752 
4     ,4      ,84   ,1273       ,13.514        ,20.922         ,0.646 
2     ,2      ,84   ,2147483647 ,14.15         ,20.191         ,0.701 
2     ,6      ,84   ,1273       ,16.553        ,22.28          ,0.743 
6     ,2      ,84   ,2147483647 ,15.913        ,20.844         ,0.763 
1     ,7      ,84   ,1273       ,16.55         ,29.583         ,0.559 
7     ,1      ,84   ,2147483647 ,15.144        ,27.233         ,0.556 
3     ,4      ,84   ,1273       ,15.512        ,27.025         ,0.574 
4     ,3      ,84   ,2147483647 ,15.618        ,26.834         ,0.582 
5     ,7      ,84   ,1273       ,16.4          ,27.885         ,0.588 
7     ,5      ,84   ,1273       ,15.701        ,27.29          ,0.575 
0     ,4      ,88   ,1273       ,17.571        ,23.124         ,0.76  
4     ,0      ,88   ,2147483647 ,14.663        ,21.441         ,0.684 
4     ,4      ,88   ,1273       ,13.623        ,21.548         ,0.632 
2     ,2      ,88   ,2147483647 ,13.627        ,20.899         ,0.652 
2     ,6      ,88   ,1273       ,17.702        ,22.953         ,0.771 
6     ,2      ,88   ,2147483647 ,14.962        ,21.623         ,0.692 
1     ,7      ,88   ,1273       ,16.624        ,30.22          ,0.55  
7     ,1      ,88   ,2147483647 ,14.934        ,28.273         ,0.528 
3     ,4      ,88   ,1273       ,16.609        ,27.585         ,0.602 
4     ,3      ,88   ,2147483647 ,15.719        ,28.079         ,0.56  
5     ,7      ,88   ,1273       ,15.987        ,28.36          ,0.564 
7     ,5      ,88   ,1273       ,15.018        ,28.514         ,0.527 
0     ,4      ,92   ,1273       ,16.131        ,24.208         ,0.666 
4     ,0      ,92   ,2147483647 ,17.246        ,22.166         ,0.778 
4     ,4      ,92   ,1273       ,16.189        ,22.349         ,0.724 
2     ,2      ,92   ,2147483647 ,13.676        ,21.768         ,0.628 
2     ,6      ,92   ,1273       ,16.116        ,23.361         ,0.69  
6     ,2      ,92   ,2147483647 ,17.312        ,22.123         ,0.783 
1     ,7      ,92   ,1273       ,16.059        ,31.163         ,0.515 
7     ,1      ,92   ,2147483647 ,16.271        ,28.141         ,0.578 
3     ,4      ,92   ,1273       ,16.356        ,28.575         ,0.572 
4     ,3      ,92   ,2147483647 ,17.105        ,27.913         ,0.613 
5     ,7      ,92   ,1273       ,19.657        ,28.282         ,0.695 
7     ,5      ,92   ,1273       ,18.901        ,27.879         ,0.678 
0     ,4      ,96   ,1273       ,20.926        ,23.829         ,0.878 
4     ,0      ,96   ,2147483647 ,16.951        ,22.536         ,0.752 
4     ,4      ,96   ,1273       ,15.976        ,22.784         ,0.701 
2     ,2      ,96   ,2147483647 ,15.946        ,22.102         ,0.721 
2     ,6      ,96   ,1273       ,20.833        ,23.52          ,0.886 
6     ,2      ,96   ,2147483647 ,16.956        ,22.308         ,0.76  
1     ,7      ,96   ,1273       ,20.31         ,30.433         ,0.667 
7     ,1      ,96   ,2147483647 ,16.588        ,29.196         ,0.568 
3     ,4      ,96   ,1273       ,19.603        ,28.476         ,0.688 
4     ,3      ,96   ,2147483647 ,18.802        ,29.045         ,0.647 
5     ,7      ,96   ,1273       ,19.125        ,28.973         ,0.66  
7     ,5      ,96   ,1273       ,16.639        ,29.055         ,0.573 
0     ,4      ,100  ,1273       ,19.085        ,24.328         ,0.784 
4     ,0      ,100  ,2147483647 ,17.915        ,22.925         ,0.781 
4     ,4      ,100  ,1273       ,15.17         ,23.041         ,0.658 
2     ,2      ,100  ,2147483647 ,16.048        ,22.397         ,0.717 
2     ,6      ,100  ,1273       ,19.1          ,24.294         ,0.786 
6     ,2      ,100  ,2147483647 ,18.415        ,23.048         ,0.799 
1     ,7      ,100  ,1273       ,19.028        ,31.267         ,0.609 
7     ,1      ,100  ,2147483647 ,17.504        ,30.054         ,0.582 
3     ,4      ,100  ,1273       ,18.395        ,29.551         ,0.622 
4     ,3      ,100  ,2147483647 ,18.413        ,29.873         ,0.616 
5     ,7      ,100  ,1273       ,19.33         ,30.167         ,0.641 
7     ,5      ,100  ,1273       ,18.375        ,30.595         ,0.601 
0     ,4      ,104  ,1273       ,20.008        ,24.843         ,0.805 
4     ,0      ,104  ,2147483647 ,16.929        ,23.834         ,0.71  
4     ,4      ,104  ,1273       ,15.198        ,23.894         ,0.636 
2     ,2      ,104  ,2147483647 ,15.215        ,23.36          ,0.651 
2     ,6      ,104  ,1273       ,20.099        ,24.702         ,0.814 
6     ,2      ,104  ,2147483647 ,17.282        ,23.837         ,0.725 
1     ,7      ,104  ,1273       ,19.583        ,32.021         ,0.612 
7     ,1      ,104  ,2147483647 ,17.312        ,31.161         ,0.556 
3     ,4      ,104  ,1273       ,19.293        ,30.16          ,0.64  
4     ,3      ,104  ,2147483647 ,18.466        ,30.644         ,0.603 
5     ,7      ,104  ,1273       ,18.625        ,30.848         ,0.604 
7     ,5      ,104  ,1273       ,17.316        ,31.134         ,0.556 
0     ,4      ,108  ,1273       ,19.316        ,25.038         ,0.771 
4     ,0      ,108  ,2147483647 ,18.408        ,24.329         ,0.757 
4     ,4      ,108  ,1273       ,17.046        ,24.17          ,0.705 
2     ,2      ,108  ,2147483647 ,15.241        ,24.064         ,0.633 
2     ,6      ,108  ,1273       ,19.406        ,25.556         ,0.759 
6     ,2      ,108  ,2147483647 ,18.498        ,24.56          ,0.753 
1     ,7      ,108  ,1273       ,19.307        ,33.234         ,0.581 
7     ,1      ,108  ,2147483647 ,17.36         ,31.066         ,0.559 
3     ,4      ,108  ,1273       ,19.285        ,31.324         ,0.616 
4     ,3      ,108  ,2147483647 ,18.51         ,30.819         ,0.601 
5     ,7      ,108  ,1273       ,20.839        ,30.958         ,0.673 
7     ,5      ,108  ,1273       ,19.747        ,30.613         ,0.645 
0     ,4      ,112  ,1273       ,22.129        ,25.853         ,0.856 
4     ,0      ,112  ,2147483647 ,18.136        ,24.888         ,0.729 
4     ,4      ,112  ,1273       ,17.005        ,24.64          ,0.69  
2     ,2      ,112  ,2147483647 ,16.924        ,24.293         ,0.697 
2     ,6      ,112  ,1273       ,22.146        ,26.084         ,0.849 
6     ,2      ,112  ,2147483647 ,18.395        ,24.761         ,0.743 
