                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length   56, alignments in bytes  0/ 4:	10.9758	9.22205	8.87549	11.0406	17.4015
Length   56, alignments in bytes  4/ 0:	10.9723	10.5057	10.4127	12.3318	19.6879
Length   56, alignments in bytes  4/ 4:	10.9756	10.5054	10.4385	11.8173	19.4537
Length   56, alignments in bytes  2/ 2:	10.9746	10.7037	10.4641	11.2782	21.0017
Length   56, alignments in bytes  2/ 6:	10.9745	11.9904	12.7993	12.1704	27.655
Length   56, alignments in bytes  6/ 2:	10.9753	10.4592	10.4082	11.6562	18.7288
Length   56, alignments in bytes  1/ 7:	10.9944	11.9924	11.8042	11.5875	27.9805
Length   56, alignments in bytes  7/ 1:	10.9729	10.5123	10.3882	10.0171	18.8754
Length   56, alignments in bytes  3/ 4:	10.9749	10.2877	11.8176	12.3427	25.022
Length   56, alignments in bytes  4/ 3:	10.9775	10.4985	10.4362	11.6565	18.9858
Length   56, alignments in bytes  5/ 7:	10.974	11.9877	11.7396	12.3434	23.6919
Length   56, alignments in bytes  7/ 5:	10.994	10.491	10.4071	9.99207	18.3611
Length   60, alignments in bytes  0/ 4:	10.9738	9.13586	8.94983	12.338	18.8527
Length   60, alignments in bytes  4/ 0:	11.6895	10.326	10.4307	10.3069	19.0188
Length   60, alignments in bytes  4/ 4:	12.1478	11.1801	12.0614	9.54712	18.6724
Length   60, alignments in bytes  2/ 2:	10.9764	10.4882	10.4878	11.7726	23.5165
Length   60, alignments in bytes  2/ 6:	10.9728	11.9554	11.7897	12.609	29.9166
Length   60, alignments in bytes  6/ 2:	11.6655	10.3748	10.4619	12.4202	17.9966
Length   60, alignments in bytes  1/ 7:	10.9741	11.9535	11.7921	12.3328	30.3234
Length   60, alignments in bytes  7/ 1:	11.6548	10.3352	10.4509	10.6515	17.7317
Length   60, alignments in bytes  3/ 4:	10.973	11.9226	11.798	10.1552	27.5042
Length   60, alignments in bytes  4/ 3:	11.6538	11.2083	11.9459	9.98413	18.7926
Length   60, alignments in bytes  5/ 7:	12.0892	11.7273	13.012	10.9971	23.8444
Length   60, alignments in bytes  7/ 5:	12.1154	11.188	12.0637	10.5842	17.6566
Length   64, alignments in bytes  0/ 4:	15.6416	9.12622	10.0326	9.99561	19.3102
Length   64, alignments in bytes  4/ 0:	14.3734	10.23	10.2719	10.4329	20.9916
Length   64, alignments in bytes  4/ 4:	15.1868	12.8773	12.6049	11.1743	21.1001
Length   64, alignments in bytes  2/ 2:	15.1838	10.1228	10.5067	11.4463	22.5105
Length   64, alignments in bytes  2/ 6:	15.4965	10.6711	11.2031	12.1875	29.6223
Length   64, alignments in bytes  6/ 2:	15.4346	10.231	10.4253	12.0098	20.2345
Length   64, alignments in bytes  1/ 7:	15.4949	10.0216	10.2144	10.5615	29.9563
Length   64, alignments in bytes  7/ 1:	15.4794	10.1941	10.4032	10.7206	19.3124
Length   64, alignments in bytes  3/ 4:	15.4652	10.5936	10.6107	10.9921	27.1987
Length   64, alignments in bytes  4/ 3:	15.4149	12.4575	12.6709	12.334	20.2904
Length   64, alignments in bytes  5/ 7:	15.4717	13.886	14.3088	12.4968	26.1086
Length   64, alignments in bytes  7/ 5:	15.0905	11.3256	11.3824	10.317	19.4152
Length   68, alignments in bytes  0/ 4:	14.5461	11.7253	11.8405	11.5098	20.6124
Length   68, alignments in bytes  4/ 0:	14.0081	12.1449	12.2299	11.8179	20.0582
Length   68, alignments in bytes  4/ 4:	14.8223	11.9513	12.0139	10.8976	19.8759
Length   68, alignments in bytes  2/ 2:	14.8127	11.9999	11.8446	12.0505	24.1848
Length   68, alignments in bytes  2/ 6:	15.1328	13.3466	13.2206	11.6038	30.7817
Length   68, alignments in bytes  6/ 2:	15.0668	12.1512	12.2205	12.0514	18.9624
Length   68, alignments in bytes  1/ 7:	15.1182	12.4254	13.1001	12.3748	32.0583
Length   68, alignments in bytes  7/ 1:	15.0557	11.8301	11.8882	12.0513	18.7639
Length   68, alignments in bytes  3/ 4:	15.5056	13.4354	13.8313	10.9932	29.5363
Length   68, alignments in bytes  4/ 3:	15.4471	12.2142	12.3884	12.3142	20.4392
Length   68, alignments in bytes  5/ 7:	15.493	14.0889	13.8368	12.4695	25.8984
Length   68, alignments in bytes  7/ 5:	15.4355	12.1946	12.3884	12.6853	18.7758
Length   72, alignments in bytes  0/ 4:	14.8932	11.7023	12.1726	11.8369	21.2311
