                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length   32, alignments in bytes  0/ 4:	10.6724	6.85681	7.39282	8.07324	12.412
Length   32, alignments in bytes  4/ 0:	10.3651	6.0459	7.37769	9.74084	16.8566
Length   32, alignments in bytes  4/ 4:	10.5135	6.70117	6.69971	9.54309	15.9124
Length   32, alignments in bytes  2/ 2:	10.6779	6.70312	7.36377	10.176	16.7455
Length   32, alignments in bytes  2/ 6:	10.574	7.99756	8.03784	9.98438	21.2151
Length   32, alignments in bytes  6/ 2:	10.75	6.07886	6.69739	9.96069	16.7623
Length   32, alignments in bytes  1/ 7:	10.5763	8.01636	8.1604	8.8988	21.5273
Length   32, alignments in bytes  7/ 1:	10.6112	6.70264	6.6969	8.9176	15.512
Length   32, alignments in bytes  3/ 4:	10.6266	8.00439	8.16333	10.0203	18.7524
Length   32, alignments in bytes  4/ 3:	10.6768	6.69739	7.3866	11.2933	16.095
Length   32, alignments in bytes  5/ 7:	10.6147	7.99683	8.17041	10.9132	17.2085
Length   32, alignments in bytes  7/ 5:	10.6803	7.36255	7.36743	8.93018	15.6014
Length   36, alignments in bytes  0/ 4:	10.5756	8.98914	8.84778	10.2861	13.8325
Length   36, alignments in bytes  4/ 0:	10.3713	7.65759	7.59485	10.178	16.1677
Length   36, alignments in bytes  4/ 4:	10.6445	9.51965	10.0414	9.5481	15.0692
Length   36, alignments in bytes  2/ 2:	10.6985	9.37646	10.0322	10.4352	19.4258
Length   36, alignments in bytes  2/ 6:	10.6525	11.7671	11.8103	10.3815	23.5316
Length   36, alignments in bytes  6/ 2:	10.6866	7.65808	7.5708	10.309	15.2358
Length   36, alignments in bytes  1/ 7:	10.7406	10.9077	10.6483	10.0597	23.9254
Length   36, alignments in bytes  7/ 1:	10.7639	6.41284	6.70984	10.3041	14.9767
Length   36, alignments in bytes  3/ 4:	10.653	11.7723	11.7634	10.0211	21.2555
Length   36, alignments in bytes  4/ 3:	10.6062	10.7028	10.0323	10.2664	16.0189
Length   36, alignments in bytes  5/ 7:	10.7126	12.5912	12.6801	10.9045	17.6823
Length   36, alignments in bytes  7/ 5:	10.7328	9.95532	10.0459	11.1963	15.2776
Length   40, alignments in bytes  0/ 4:	10.6399	9.74316	9.60693	10.6567	13.838
Length   40, alignments in bytes  4/ 0:	10.5468	10.3577	10.4181	10.833	17.3871
Length   40, alignments in bytes  4/ 4:	10.6698	10.2579	10.5819	10.434	17.0502
Length   40, alignments in bytes  2/ 2:	10.7269	10.2765	10.5337	10.4414	18.0841
Length   40, alignments in bytes  2/ 6:	10.6993	12.2692	11.9072	10.3651	23.0372
Length   40, alignments in bytes  6/ 2:	10.655	10.3485	10.4373	11.2013	17.4901
Length   40, alignments in bytes  1/ 7:	10.6448	12.2655	11.8984	10.297	23.3408
Length   40, alignments in bytes  7/ 1:	10.6624	10.3304	10.3484	8.93311	16.7325
Length   40, alignments in bytes  3/ 4:	10.7054	11.6594	11.5637	11.1512	20.7336
Length   40, alignments in bytes  4/ 3:	10.676	10.3624	10.4696	10.6809	16.6802
Length   40, alignments in bytes  5/ 7:	10.6462	12.2627	11.8939	11.1538	19.1119
Length   40, alignments in bytes  7/ 5:	10.7374	10.5555	10.449	8.94019	16.5089
Length   44, alignments in bytes  0/ 4:	10.7639	8.91028	8.7594	10.6641	15.0964
Length   44, alignments in bytes  4/ 0:	10.2626	9.43567	9.42847	8.42517	16.7467
Length   44, alignments in bytes  4/ 4:	10.6384	10.4275	10.4926	8.54187	15.6851
Length   44, alignments in bytes  2/ 2:	10.5762	10.2546	10.6141	10.4359	22.0953
Length   44, alignments in bytes  2/ 6:	10.5857	11.6743	11.5625	10.6608	25.4099
Length   44, alignments in bytes  6/ 2:	10.6106	9.41589	9.40552	9.88513	16.2346
Length   44, alignments in bytes  1/ 7:	10.4813	12.2675	11.8704	10.6775	25.8723
