Geometric mean of N = 30 runs.
Benchmarked on Tigerlake: https://ark.intel.com/content/www/us/en/ark/products/208921/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz-with-ipu.html

Aggregate Geometric Mean of New / Old: 0.9674465599435252

Results For: memchr
 len, align,  pos, seek_char, invert_pos, New / Old
  21,    22,   22,        23,          0,     1.007
  21,    22,   22,         0,          0,     1.004
  23,  2048,   22,        23,          0,      0.89
  23,  2048,   22,         0,          0,     0.898
  23,  2070,   22,        23,          0,     0.922
  23,  2070,   22,         0,          0,     0.906
  21,  2048,   22,        23,          0,     1.006
  21,  2048,   22,         0,          0,     1.003
  21,  2070,   22,        23,          0,     1.003
  21,  2070,   22,         0,          0,     0.999
  21,  4081,   22,        23,          0,     0.998
  21,  4081,   22,         0,          0,     1.001
  23,  4081,   22,        23,          0,     1.029
  23,  4081,   22,         0,          0,     1.015
  24,     0,   23,        23,          0,      0.91
  24,     0,   23,         0,          0,     0.923
  24,    23,   23,        23,          0,      0.87
  24,    23,   23,         0,          0,      0.89
  22,     0,   23,        23,          0,     1.011
  22,     0,   23,         0,          0,     1.009
  22,    23,   23,        23,          0,     0.997
  22,    23,   23,         0,          0,     0.997
  24,  2048,   23,        23,          0,     0.911
  24,  2048,   23,         0,          0,       0.9
  24,  2071,   23,        23,          0,     0.882
  24,  2071,   23,         0,          0,     0.883
  22,  2048,   23,        23,          0,     0.998
  22,  2048,   23,         0,          0,     0.999
  22,  2071,   23,        23,          0,     1.004
  22,  2071,   23,         0,          0,     1.002
  22,  4081,   23,        23,          0,     0.999
  22,  4081,   23,         0,          0,       1.0
  24,  4081,   23,        23,          0,     1.037
  24,  4081,   23,         0,          0,     1.036
  25,     0,   24,        23,          0,     0.921
  25,     0,   24,         0,          0,     0.888
  25,    24,   24,        23,          0,     0.887
  25,    24,   24,         0,          0,     0.883
  23,     0,   24,        23,          0,     1.007
  23,     0,   24,         0,          0,     0.999
  23,    24,   24,        23,          0,     1.006
  23,    24,   24,         0,          0,     1.007
  25,  2048,   24,        23,          0,     0.898
  25,  2048,   24,         0,          0,     0.908
  25,  2072,   24,        23,          0,       0.9
  25,  2072,   24,         0,          0,     0.889
  23,  2048,   24,        23,          0,     1.005
  23,  2048,   24,         0,          0,     1.007
  23,  2072,   24,        23,          0,     1.005
  23,  2072,   24,         0,          0,       1.0
  23,  4081,   24,        23,          0,     1.003
  23,  4081,   24,         0,          0,     1.006
  25,  4081,   24,        23,          0,     1.032
  25,  4081,   24,         0,          0,     1.038
  26,     0,   25,        23,          0,     0.876
  26,     0,   25,         0,          0,     0.882
  26,    25,   25,        23,          0,     0.871
  26,    25,   25,         0,          0,     0.897
  24,     0,   25,        23,          0,       1.0
  24,     0,   25,         0,          0,     0.993
  24,    25,   25,        23,          0,     1.002
  24,    25,   25,         0,          0,     1.001
  26,  2048,   25,        23,          0,     0.891
  26,  2048,   25,         0,          0,     0.899
  26,  2073,   25,        23,          0,     0.905
  26,  2073,   25,         0,          0,     0.925
  24,  2048,   25,        23,          0,     1.005
  24,  2048,   25,         0,          0,     1.006
  24,  2073,   25,        23,          0,     0.999
  24,  2073,   25,         0,          0,     1.003
  24,  4081,   25,        23,          0,     1.003
  24,  4081,   25,         0,          0,     1.002
  26,  4081,   25,        23,          0,     1.016
  26,  4081,   25,         0,          0,      1.02
  27,     0,   26,        23,          0,     0.909
  27,     0,   26,         0,          0,     0.903
  27,    26,   26,        23,          0,     0.923
  27,    26,   26,         0,          0,     0.889
  25,     0,   26,        23,          0,     0.998
  25,     0,   26,         0,          0,     1.016
  25,    26,   26,        23,          0,     1.006
