                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length   56, alignments in bytes  2/ 2:	10.9742	10.5206	10.4622	11.5007	20.9414
Length   56, alignments in bytes  2/ 6:	10.9744	10.2872	11.8186	12.1707	27.6891
Length   56, alignments in bytes  6/ 2:	10.9778	10.5366	10.3993	11.6731	18.7163
Length   56, alignments in bytes  1/ 7:	10.9739	11.9142	11.8109	11.5654	28.0312
Length   56, alignments in bytes  7/ 1:	11.0101	10.5582	10.3948	9.99011	19.0352
Length   56, alignments in bytes  3/ 4:	10.974	11.988	11.8124	12.3431	25.0889
Length   56, alignments in bytes  4/ 3:	10.9756	10.629	10.4381	11.6553	18.9844
Length   56, alignments in bytes  5/ 7:	10.9934	11.9896	12.806	12.3481	25.4666
Length   56, alignments in bytes  7/ 5:	10.9746	10.5795	10.4735	9.99805	19.1243
Length   60, alignments in bytes  0/ 4:	10.973	9.14954	8.94458	12.3328	18.8521
Length   60, alignments in bytes  4/ 0:	11.682	10.3687	10.4617	9.90149	19.0022
Length   60, alignments in bytes  4/ 4:	12.1603	11.1906	12.0793	9.51929	18.6317
Length   60, alignments in bytes  2/ 2:	10.9723	10.5072	10.5011	12.235	23.4871
Length   60, alignments in bytes  2/ 6:	10.978	11.955	11.7988	12.3342	29.7627
Length   60, alignments in bytes  6/ 2:	11.6583	10.3513	10.4291	12.3811	18.0242
Length   60, alignments in bytes  1/ 7:	10.9725	11.9801	11.8003	12.2965	30.3577
Length   60, alignments in bytes  7/ 1:	11.6572	10.3275	10.452	10.5618	17.7345
Length   60, alignments in bytes  3/ 4:	10.9738	11.9191	11.809	10.1909	27.5966
Length   60, alignments in bytes  4/ 3:	11.657	11.1936	11.964	10.0197	18.7933
Length   60, alignments in bytes  5/ 7:	12.137	11.7106	13.0117	10.683	23.8417
Length   60, alignments in bytes  7/ 5:	12.129	11.1782	12.0547	10.5569	17.6597
Length   64, alignments in bytes  0/ 4:	14.8625	9.11829	10.1055	10.0023	19.3398
Length   64, alignments in bytes  4/ 0:	14.4276	10.1943	10.2461	10.4265	21.2711
Length   64, alignments in bytes  4/ 4:	15.1741	12.8281	12.5977	11.1583	20.7997
Length   64, alignments in bytes  2/ 2:	15.186	10.1119	10.5968	11.3964	22.491
Length   64, alignments in bytes  2/ 6:	15.5403	10.6891	11.2167	12.1892	29.5707
Length   64, alignments in bytes  6/ 2:	15.4738	10.236	10.4421	12.009	20.8964
Length   64, alignments in bytes  1/ 7:	15.4934	10.0255	10.2185	10.8734	29.9015
Length   64, alignments in bytes  7/ 1:	15.4534	10.1938	10.4197	10.7434	21.9469
Length   64, alignments in bytes  3/ 4:	15.5051	10.5981	10.691	10.9948	27.1975
Length   64, alignments in bytes  4/ 3:	15.4016	12.4771	12.6528	12.3311	20.384
Length   64, alignments in bytes  5/ 7:	15.5083	13.8691	14.3375	12.4868	25.6812
Length   64, alignments in bytes  7/ 5:	15.4615	11.5892	11.6521	10.5675	21.9464
Length   68, alignments in bytes  0/ 4:	14.9131	11.9912	12.1281	11.7875	21.1061
Length   68, alignments in bytes  4/ 0:	14.4115	12.47	12.5315	12.083	20.5518
Length   68, alignments in bytes  4/ 4:	15.1819	12.2266	12.2697	11.151	20.3877
Length   68, alignments in bytes  2/ 2:	15.1982	12.2905	12.1531	12.3447	24.8668
Length   68, alignments in bytes  2/ 6:	15.5103	13.5847	13.5426	11.8894	31.6608
Length   68, alignments in bytes  6/ 2:	15.4456	12.4447	12.537	12.3475	19.4414
Length   68, alignments in bytes  1/ 7:	15.511	12.7218	12.7301	12.03	32.1516
Length   68, alignments in bytes  7/ 1:	15.4172	12.1335	12.1786	12.3506	18.7864
Length   68, alignments in bytes  3/ 4:	15.4897	13.4412	13.8365	11.0072	29.3969
Length   68, alignments in bytes  4/ 3:	15.4314	12.2159	12.3884	12.329	20.4476
Length   68, alignments in bytes  5/ 7:	15.5306	14.0863	13.855	12.4799	25.849
Length   68, alignments in bytes  7/ 5:	15.454	12.1716	13.1053	12.6882	18.7457
Length   72, alignments in bytes  0/ 4:	14.8927	11.6924	12.2122	11.8518	21.2405
Length   72, alignments in bytes  4/ 0:	14.4313	11.9093	12.0038	12.6917	22.7715
Length   72, alignments in bytes  4/ 4:	15.2102	12.3157	11.6167	12.3452	22.7107
Length   72, alignments in bytes  2/ 2:	15.1882	12.168	11.6473	12.3475	24.1022
Length   72, alignments in bytes  2/ 6:	15.4833	13.3794	13.4095	12.2622	31.5066
Length   72, alignments in bytes  6/ 2:	15.4351	11.8798	11.9855	12.6791	21.0338
Length   72, alignments in bytes  1/ 7:	15.506	13.3503	13.3875	12.1661	31.8813
Length   72, alignments in bytes  7/ 1:	15.4673	11.8961	12.0338	10.5812	20.4255
Length   72, alignments in bytes  3/ 4:	15.5258	12.4635	13.104	12.6819	29.1862
Length   72, alignments in bytes  4/ 3:	15.4393	12.3306	11.8141	12.6823	21.8743
Length   72, alignments in bytes  5/ 7:	15.4994	12.4943	13.1013	12.4758	27.4911
Length   72, alignments in bytes  7/ 5:	15.4377	11.8727	12.0022	10.5643	20.3345
Length   76, alignments in bytes  0/ 4:	14.8942	11.5994	11.4644	12.1123	23.1808
Length   76, alignments in bytes  4/ 0:	14.4047	12.429	12.5675	10.4539	22.0388
Length   76, alignments in bytes  4/ 4:	15.1841	12.1757	12.3489	10.0646	21.8794
Length   76, alignments in bytes  2/ 2:	15.1793	12.012	11.6434	12.3484	26.3629
Length   76, alignments in bytes  2/ 6:	15.504	12.5389	12.7397	12.1493	34.8442
Length   76, alignments in bytes  6/ 2:	15.4333	12.4631	12.5349	12.5659	20.3877
Length   76, alignments in bytes  1/ 7:	15.4895	12.4385	12.7369	12.1459	34.2582
Length   76, alignments in bytes  7/ 1:	15.424	12.439	12.5182	11.0637	19.9117
Length   76, alignments in bytes  3/ 4:	15.5112	12.528	13.1581	10.994	32.0416
Length   76, alignments in bytes  4/ 3:	15.4382	12.087	12.4003	10.5469	21.9021
Length   76, alignments in bytes  5/ 7:	15.5106	14.1073	13.9478	11.929	27.9509
Length   76, alignments in bytes  7/ 5:	15.4447	13.9816	12.4106	11.4362	19.8102
Length   80, alignments in bytes  0/ 4:	14.9088	11.6914	11.9373	10.5969	23.2245
Length   80, alignments in bytes  4/ 0:	14.3987	12.1379	12.4357	11.3246	24.26
Length   80, alignments in bytes  4/ 4:	15.193	12.2714	11.6904	11.5253	25.5701
Length   80, alignments in bytes  2/ 2:	15.1725	12.313	11.681	12.076	25.6564
Length   80, alignments in bytes  2/ 6:	15.5275	13.3436	13.4113	12.8264	33.7034
Length   80, alignments in bytes  6/ 2:	15.437	12.1548	12.4224	12.2535	22.8546
Length   80, alignments in bytes  1/ 7:	15.4655	13.3436	13.4226	11.6929	34.2009
Length   80, alignments in bytes  7/ 1:	15.4618	12.0748	12.4454	11.4414	21.4573
Length   80, alignments in bytes  3/ 4:	15.541	12.3833	13.1627	11.3595	31.3107
