                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length   48, alignments in bytes  6/ 2:	10.6887	10.6498	10.4897	10.0359	17.8394
Length   48, alignments in bytes  1/ 7:	10.8701	12.3519	11.8969	9.43896	25.2214
Length   48, alignments in bytes  7/ 1:	10.6202	10.6572	10.5089	9.74084	17.6274
Length   48, alignments in bytes  3/ 4:	10.6285	11.7073	11.5457	9.8501	22.504
Length   48, alignments in bytes  4/ 3:	10.6986	10.5643	10.7268	10.6553	17.469
Length   48, alignments in bytes  5/ 7:	10.6686	12.3419	11.8937	11.9677	21.2863
Length   48, alignments in bytes  7/ 5:	10.6676	10.4746	10.5089	9.72253	17.0629
Length   52, alignments in bytes  0/ 4:	10.7396	9.07678	8.8772	10.5886	16.5428
Length   52, alignments in bytes  4/ 0:	10.2832	10.2878	10.6399	11.059	17.8881
Length   52, alignments in bytes  4/ 4:	11.0607	10.7114	10.9382	10.0164	17.1522
Length   52, alignments in bytes  2/ 2:	10.9617	10.6963	10.9164	12.2981	23.3235
Length   52, alignments in bytes  2/ 6:	10.8585	11.9934	11.5488	11.8837	27.7905
Length   52, alignments in bytes  6/ 2:	10.8751	10.5375	10.9161	11.468	17.2726
Length   52, alignments in bytes  1/ 7:	10.9735	12.6423	12.1859	11.5751	28.3911
Length   52, alignments in bytes  7/ 1:	10.8403	10.9482	10.7504	11.8199	17.0144
Length   52, alignments in bytes  3/ 4:	10.923	11.9965	11.842	10.9894	25.7356
Length   52, alignments in bytes  4/ 3:	10.8954	10.8894	10.9518	10.9088	17.6019
Length   52, alignments in bytes  5/ 7:	11.0424	11.9946	11.8414	12.2231	21.8375
Length   52, alignments in bytes  7/ 5:	10.8815	10.7567	10.9568	11.6522	17.1854
Length   56, alignments in bytes  0/ 4:	10.9194	9.26868	9.05847	11.0342	17.3683
Length   56, alignments in bytes  4/ 0:	10.5645	10.5312	10.9216	12.3354	19.7045
Length   56, alignments in bytes  4/ 4:	10.9501	10.5626	10.905	12.2904	19.4253
Length   56, alignments in bytes  2/ 2:	11.0763	10.7738	10.9775	11.0698	20.8892
Length   56, alignments in bytes  2/ 6:	10.9117	11.9944	11.8044	12.0459	27.7532
Length   56, alignments in bytes  6/ 2:	10.6587	10.2637	10.6912	11.3848	18.2782
Length   56, alignments in bytes  1/ 7:	10.7762	10.0431	11.5474	11.387	27.172
Length   56, alignments in bytes  7/ 1:	10.6844	10.5498	10.7139	9.7384	18.4718
Length   56, alignments in bytes  3/ 4:	10.7395	10.0433	11.5165	12.0425	24.5771
Length   56, alignments in bytes  4/ 3:	10.6531	10.6379	10.6686	11.3778	18.6238
Length   56, alignments in bytes  5/ 7:	10.7267	12.2213	11.6089	12.3489	23.813
Length   56, alignments in bytes  7/ 5:	10.9208	10.8256	10.9481	9.95276	18.5165
Length   60, alignments in bytes  0/ 4:	10.7769	9.73364	9.11121	12.3356	18.7522
Length   60, alignments in bytes  4/ 0:	11.2859	10.3035	10.8478	9.53101	19.0867
Length   60, alignments in bytes  4/ 4:	11.6863	11.2679	12.1088	9.22644	18.6895
Length   60, alignments in bytes  2/ 2:	11.1132	10.7028	10.9193	12.2944	24.0251
Length   60, alignments in bytes  2/ 6:	10.8102	11.9954	11.8516	12.3405	31.0405
Length   60, alignments in bytes  6/ 2:	11.2931	10.2892	10.8662	12.2607	17.9834
Length   60, alignments in bytes  1/ 7:	10.7617	11.9984	11.854	12.3478	30.3162
Length   60, alignments in bytes  7/ 1:	11.4344	10.0643	10.4218	10.2595	17.3502
Length   60, alignments in bytes  3/ 4:	10.7682	11.7122	11.5895	9.85999	27.1815
Length   60, alignments in bytes  4/ 3:	10.8995	10.8617	11.7518	9.42432	18.3779
Length   60, alignments in bytes  5/ 7:	11.6322	10.726	12.7125	10.655	23.2754
Length   60, alignments in bytes  7/ 5:	11.6367	10.8186	11.8142	10.3184	17.2693
Length   64, alignments in bytes  0/ 4:	14.1687	9.06958	8.67236	9.39624	18.8268
Length   64, alignments in bytes  4/ 0:	13.4469	10.0366	10.6921	10.4027	21.1823
Length   64, alignments in bytes  4/ 4:	14.2559	12.6093	13.496	11.1748	20.9894
Length   64, alignments in bytes  2/ 2:	14.264	10.126	10.1394	11.3745	22.5842
Length   64, alignments in bytes  2/ 6:	14.6046	10.6495	10.7773	12.1213	29.5221
Length   64, alignments in bytes  6/ 2:	14.9584	10.2748	10.3757	12.0149	21.9542
Length   64, alignments in bytes  1/ 7:	14.6517	10.0179	9.599	10.4573	30.0164
Length   64, alignments in bytes  7/ 1:	14.97	10.2837	10.4164	10.5604	19.8654
Length   64, alignments in bytes  3/ 4:	14.663	10.4513	10.4282	10.9862	27.401
Length   64, alignments in bytes  4/ 3:	14.9519	12.538	12.8308	12.3284	20.3782
Length   64, alignments in bytes  5/ 7:	14.6273	13.7949	14.3976	12.4625	25.8873
Length   64, alignments in bytes  7/ 5:	15.0024	11.6696	11.6914	10.5458	19.8901
Length   68, alignments in bytes  0/ 4:	15.0145	12.0244	12.2493	11.7889	21.0448
Length   68, alignments in bytes  4/ 0:	14.0348	12.4647	12.6844	12.0896	20.6085
Length   68, alignments in bytes  4/ 4:	14.2966	12.2125	12.8281	11.1697	20.3359
Length   68, alignments in bytes  2/ 2:	14.2288	12.2197	12.197	12.3466	28.0802
Length   68, alignments in bytes  2/ 6:	14.6766	13.634	13.8191	11.8877	31.7557
Length   68, alignments in bytes  6/ 2:	14.9822	12.4813	12.6998	12.3473	19.4198
Length   68, alignments in bytes  1/ 7:	14.647	12.7405	12.8561	11.9706	32.2786
Length   68, alignments in bytes  7/ 1:	15.0461	12.1375	12.1887	12.3494	18.8615
Length   68, alignments in bytes  3/ 4:	14.6451	13.4336	13.7745	10.984	29.8427
Length   68, alignments in bytes  4/ 3:	14.9716	12.209	12.8855	12.3325	20.498
Length   68, alignments in bytes  5/ 7:	14.621	14.0442	14.3947	12.4583	25.9084
Length   68, alignments in bytes  7/ 5:	14.958	12.1459	12.8738	12.6875	18.807
Length   72, alignments in bytes  0/ 4:	14.5699	11.7328	11.9775	11.8655	21.2555
Length   72, alignments in bytes  4/ 0:	13.9197	11.905	12.1201	12.6854	22.7506
Length   72, alignments in bytes  4/ 4:	14.2527	12.0209	11.7577	12.3387	22.8551
Length   72, alignments in bytes  2/ 2:	13.9189	11.6981	11.6943	12.0486	23.5485
Length   72, alignments in bytes  2/ 6:	14.2944	13.0121	13.0741	12.007	30.7605
Length   72, alignments in bytes  6/ 2:	14.5769	11.595	11.8556	13.609	21.1771
Length   72, alignments in bytes  1/ 7:	14.7006	13.6323	13.0912	11.8723	31.0784
Length   72, alignments in bytes  7/ 1:	14.6178	11.5869	11.8184	10.3153	20.0684
Length   72, alignments in bytes  3/ 4:	14.3092	12.067	12.932	12.3787	29.835
Length   72, alignments in bytes  4/ 3:	14.9189	12.0872	12.056	12.681	21.8722
Length   72, alignments in bytes  5/ 7:	14.6677	12.4088	13.2224	12.6287	27.7346
Length   72, alignments in bytes  7/ 5:	15.0408	11.8157	12.1067	10.5585	20.3149
Length   76, alignments in bytes  0/ 4:	14.5188	11.6277	11.2555	12.1293	22.9539
Length   76, alignments in bytes  4/ 0:	13.8163	12.4515	13.0006	10.3075	22.0872
Length   76, alignments in bytes  4/ 4:	14.3031	12.2253	13.2551	10.1792	21.8971
Length   76, alignments in bytes  2/ 2:	14.3137	11.9448	11.9019	12.3422	29.4929
