                            	generic_strncat	__strncat_avx2	__strncat_evex	__strncat_sse2_unaligned	__strncat_generic
Length   64/  64, alignment  0/ 0, N  512:	24.551	24.2701	24.9452	24.6378	24.4611
Length   64/  64, alignment  5/ 6, N  512:	27.8818	28.3893	29.0732	27.8386	27.8163
Length   64/  16, alignment  0/ 0, N  512:	27.5052	28.4264	27.4366	25.0095	27.7444
Length   64/  16, alignment  5/ 6, N  512:	27.769	28.5173	28.8687	27.266	27.5912
Length  128/ 128, alignment  0/ 0, N  512:	26.906	26.3135	26.6019	28.4972	26.4194
Length  128/ 128, alignment  4/ 0, N  512:	26.5364	27.9709	28.4767	30.949	27.0007
Length  128/  32, alignment  0/ 0, N  512:	28.2112	26.3784	26.997	28.8546	28.1955
Length  128/  32, alignment  4/ 0, N  512:	28.2489	31.1345	31.9313	31.7488	28.1698
Length  256/ 256, alignment  0/ 0, N  512:	35.3253	30.0847	30.8883	34.1282	36.231
Length  256/ 256, alignment  3/ 2, N  512:	39.9106	35.0689	35.878	37.3105	39.9175
Length  256/  64, alignment  0/ 0, N  512:	33.0534	30.8195	31.5975	32.7445	32.7697
Length  256/  64, alignment  3/ 2, N  512:	36.3814	35.0318	35.8412	37.0337	36.3183
Length  512/ 512, alignment  0/ 0, N  512:	42.0065	33.887	35.0586	48.4318	44.1788
Length  512/ 512, alignment  2/ 4, N  512:	51.5145	44.7326	46.826	54.3998	51.6667
Length  512/ 128, alignment  0/ 0, N  512:	40.2932	34.1692	34.4879	39.5834	40.7534
Length  512/ 128, alignment  2/ 4, N  512:	46.9877	44.8881	45.3852	48.9404	47.1171
Length 1024/1024, alignment  0/ 0, N  512:	46.8803	41.1946	42.8682	61.4627	48.3399
Length 1024/1024, alignment  1/ 6, N  512:	50.7789	47.3901	47.2771	64.7733	52.0365
Length 1024/ 256, alignment  0/ 0, N  512:	49.1813	33.8817	34.7563	42.6391	49.1653
Length 1024/ 256, alignment  1/ 6, N  512:	59.9292	44.5556	45.3522	49.3953	59.9304
Length   16/   1, alignment  1/ 2, N  512:	25.5606	23.5355	24.231	22.1205	25.5579
Length   16/   1, alignment  2/ 1, N  512:	25.5866	23.505	24.1574	22.1783	24.9579
Length   16/  10, alignment  1/ 1, N  512:	25.0226	22.8926	23.6652	21.5795	25.0041
Length   32/   1, alignment  2/ 4, N  512:	24.9902	23.1787	23.7254	23.1104	24.3514
Length   32/   1, alignment  4/ 2, N  512:	24.424	22.8708	23.525	23.0527	24.3517
Length   32/  10, alignment  2/ 2, N  512:	24.2394	23.062	23.7264	23.0749	24.4085
Length   64/   1, alignment  3/ 6, N  512:	27.446	26.4357	27.5777	25.7954	26.8372
Length   64/   1, alignment  6/ 3, N  512:	26.8203	26.521	27.8078	25.7188	27.6019
Length   64/  10, alignment  3/ 3, N  512:	27.0973	25.9042	26.7782	25.1997	26.8206
Length  128/   1, alignment  4/ 0, N  512:	27.7697	30.0847	30.742	31.1402	27.7334
Length  128/   1, alignment  0/ 4, N  512:	27.9024	27.5669	28.9379	30.8984	27.8967
Length  128/  10, alignment  4/ 4, N  512:	28.3251	30.1817	30.858	30.9886	28.2027
Length  256/   1, alignment  5/ 2, N  512:	34.9079	32.3242	33.0893	34.6691	34.8246
Length  256/   1, alignment  2/ 5, N  512:	34.6529	34.999	35.7606	35.6795	34.8657
Length  256/  10, alignment  5/ 5, N  512:	34.6579	33.9791	35.5021	35.7282	34.8115
Length  512/   1, alignment  6/ 4, N  512:	44.2115	42.1338	42.767	47.2731	44.9825
Length  512/   1, alignment  4/ 6, N  512:	45.4674	42.5957	43.4084	47.7729	45.8238
Length  512/  10, alignment  6/ 6, N  512:	45.5332	42.5982	43.2874	47.0996	45.7763
Length 1024/   1, alignment  7/ 6, N  512:	41.9212	34.0635	34.6927	40.4574	41.7053
Length 1024/   1, alignment  6/ 7, N  512:	45.5559	42.3842	43.1088	46.9752	45.638
Length 1024/  10, alignment  7/ 7, N  512:	45.6665	42.4238	43.099	46.7564	45.7487
Length    2/   2, alignment  0/ 2, N 2048:	24.7541	22.7475	23.7131	21.4709	24.7574
Length    4/   4, alignment  0/ 0, N 2048:	24.9256	22.8949	23.6086	21.5055	24.8194
Length    4/   4, alignment  4/ 0, N 2048:	25.058	22.8391	23.7023	21.4957	24.8976
Length    8/   8, alignment  0/ 0, N 2048:	24.877	22.746	23.0975	20.9139	24.2671
Length    8/   8, alignment  0/ 0, N 2048:	24.4147	22.2162	22.8722	20.9828	24.3156
Length   16/  16, alignment  0/ 0, N 2048:	24.4143	22.3382	23.0042	21.9203	24.169
Length   16/  16, alignment  7/ 2, N 2048:	23.8913	21.8507	22.4266	21.4924	23.7877
Length   16/   4, alignment  0/ 0, N 2048:	23.8478	21.8576	22.4786	20.6044	23.8216
Length   16/   4, alignment  7/ 2, N 2048:	23.7476	21.7917	22.4212	20.4984	23.6568
Length   32/  32, alignment  0/ 0, N 2048:	24.3973	23.885	24.7015	23.4121	24.4399
Length   32/  32, alignment  6/ 4, N 2048:	28.8825	25.5424	26.3084	25.8356	29.0614
Length   32/   8, alignment  0/ 0, N 2048:	23.7936	22.4767	22.9908	21.9413	23.7115
Length   32/   8, alignment  6/ 4, N 2048:	23.8289	22.3596	23.1875	22.6474	23.7415
Length   64/  64, alignment  0/ 0, N 2048:	24.3933	24.2727	24.9429	24.7127	24.45
Length   64/  64, alignment  5/ 6, N 2048:	27.683	28.3299	29.2039	27.825	27.7842
Length   64/  16, alignment  0/ 0, N 2048:	26.8366	27.6954	26.3789	24.396	27.0939
Length   64/  16, alignment  5/ 6, N 2048:	27.1991	28.4657	28.9601	27.2794	28.0989
