                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length   68, alignments in bytes  3/ 4:	14.6133	13.4351	13.766	11.0258	29.7979
Length   68, alignments in bytes  4/ 3:	14.936	12.1738	12.8655	12.3204	20.4813
Length   68, alignments in bytes  5/ 7:	14.6855	14.0529	14.3956	12.4741	25.8638
Length   68, alignments in bytes  7/ 5:	15.0323	12.233	12.8726	12.6844	18.7881
Length   72, alignments in bytes  0/ 4:	14.541	11.7314	12.0016	11.8416	21.2251
Length   72, alignments in bytes  4/ 0:	13.9944	11.8854	12.104	12.6815	22.7133
Length   72, alignments in bytes  4/ 4:	14.2405	12.1422	12.0421	12.3397	22.5122
Length   72, alignments in bytes  2/ 2:	14.2773	11.9547	12.0159	12.3385	24.0817
Length   72, alignments in bytes  2/ 6:	14.6605	13.3395	13.3898	12.2805	31.587
Length   72, alignments in bytes  6/ 2:	14.9875	11.8754	12.0955	12.6835	21.6914
Length   72, alignments in bytes  1/ 7:	14.6267	13.3301	13.4127	12.1678	31.9127
Length   72, alignments in bytes  7/ 1:	14.9543	11.8927	12.1006	10.5645	20.5659
Length   72, alignments in bytes  3/ 4:	14.6595	12.3741	13.2478	12.6254	29.4053
Length   72, alignments in bytes  4/ 3:	14.9269	12.1521	12.1971	12.688	25.3922
Length   72, alignments in bytes  5/ 7:	14.6897	12.4691	13.2129	12.3523	27.6409
Length   72, alignments in bytes  7/ 5:	14.9415	11.8607	12.134	10.5554	20.3055
Length   76, alignments in bytes  0/ 4:	14.6157	11.6146	11.1401	12.5146	23.0327
Length   76, alignments in bytes  4/ 0:	13.9279	12.4708	13.1425	10.6809	22.2052
Length   76, alignments in bytes  4/ 4:	14.3217	12.2159	13.2417	10.1746	21.8468
Length   76, alignments in bytes  2/ 2:	14.3105	12.0415	12.0283	12.3605	26.1949
Length   76, alignments in bytes  2/ 6:	14.6976	12.366	12.9175	12.1295	33.8717
Length   76, alignments in bytes  6/ 2:	14.9086	12.465	12.6555	12.458	20.465
Length   76, alignments in bytes  1/ 7:	14.667	12.3451	12.9067	12.1379	34.2727
Length   76, alignments in bytes  7/ 1:	14.9806	12.4794	12.7244	10.9835	20.0211
Length   76, alignments in bytes  3/ 4:	14.6713	12.428	13.2234	10.9946	31.9037
Length   76, alignments in bytes  4/ 3:	14.9148	12.1965	13.2848	11.2683	21.4471
Length   76, alignments in bytes  5/ 7:	14.3063	13.7056	14.0227	11.7478	27.1676
Length   76, alignments in bytes  7/ 5:	14.568	11.9756	12.9368	11.1533	19.5352
Length   80, alignments in bytes  0/ 4:	14.3086	11.3877	11.6276	10.3076	22.5095
Length   80, alignments in bytes  4/ 0:	13.4888	11.9315	12.9548	11.073	23.6353
Length   80, alignments in bytes  4/ 4:	14.014	12.6487	11.7773	11.5233	24.094
Length   80, alignments in bytes  2/ 2:	14.3046	12.2227	11.7439	11.9474	28.1248
Length   80, alignments in bytes  2/ 6:	14.6835	13.3369	13.3975	12.7308	33.6407
Length   80, alignments in bytes  6/ 2:	14.9031	12.2499	13.2578	12.2516	22.9297
Length   80, alignments in bytes  1/ 7:	14.9823	13.3281	13.3994	11.7312	33.91
Length   80, alignments in bytes  7/ 1:	15.0494	12.2288	13.2653	11.4448	21.6598
Length   80, alignments in bytes  3/ 4:	14.634	12.3479	13.2561	11.3256	31.5192
