                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length   64, alignments in bytes  0/ 4:	14.8683	9.11963	9.90723	10.0325	19.3691
Length   64, alignments in bytes  4/ 0:	14.3812	10.2059	10.288	10.4188	21.0582
Length   64, alignments in bytes  4/ 4:	15.1993	12.8009	12.6001	11.1758	20.9048
Length   64, alignments in bytes  2/ 2:	15.2101	10.1213	10.5925	11.446	22.5048
Length   64, alignments in bytes  2/ 6:	15.5383	10.6743	11.2141	12.2194	29.551
Length   64, alignments in bytes  6/ 2:	15.4242	10.2035	10.4468	12.0129	19.6149
Length   64, alignments in bytes  1/ 7:	15.4705	11.0568	10.1678	10.7183	29.9595
Length   64, alignments in bytes  7/ 1:	15.4346	10.1934	10.4294	10.5599	19.3436
Length   64, alignments in bytes  3/ 4:	15.4861	10.5818	10.642	11.0436	27.2054
Length   64, alignments in bytes  4/ 3:	15.4401	12.4729	12.6813	12.3087	21.3075
Length   64, alignments in bytes  5/ 7:	15.5011	13.9353	14.3286	12.4838	25.7695
Length   64, alignments in bytes  7/ 5:	15.455	11.5667	11.6652	10.708	19.8899
Length   68, alignments in bytes  0/ 4:	14.8972	12.0065	12.1501	11.774	20.9999
Length   68, alignments in bytes  4/ 0:	14.3217	12.4373	12.5187	12.0837	20.582
Length   68, alignments in bytes  4/ 4:	15.1694	12.2266	12.2971	11.1542	20.3434
Length   68, alignments in bytes  2/ 2:	15.1455	12.3458	12.1707	12.3479	25.3861
Length   68, alignments in bytes  2/ 6:	15.5181	13.7083	13.5311	11.8867	31.6533
Length   68, alignments in bytes  6/ 2:	15.4556	12.452	12.5364	12.3489	19.387
Length   68, alignments in bytes  1/ 7:	15.4752	12.7229	12.7152	11.9908	32.1536
Length   68, alignments in bytes  7/ 1:	15.4524	12.1375	12.1772	12.3424	18.7787
Length   68, alignments in bytes  3/ 4:	15.5352	13.4437	13.8533	11.0144	29.3295
Length   68, alignments in bytes  4/ 3:	15.4524	12.2268	12.3857	12.3251	20.4974
Length   68, alignments in bytes  5/ 7:	15.4908	14.0967	13.8801	12.4937	25.8779
Length   68, alignments in bytes  7/ 5:	15.4408	12.2104	12.3771	12.6833	19.4872
Length   72, alignments in bytes  0/ 4:	14.916	11.6986	12.1731	11.8538	21.2211
Length   72, alignments in bytes  4/ 0:	14.4066	11.8909	12.0016	12.6827	22.7256
Length   72, alignments in bytes  4/ 4:	15.1887	12.068	11.5867	12.3407	22.7224
Length   72, alignments in bytes  2/ 2:	15.1836	12.0717	11.6433	12.3445	24.1041
Length   72, alignments in bytes  2/ 6:	15.4977	13.3593	13.4019	12.2692	31.5367
Length   72, alignments in bytes  6/ 2:	15.4324	11.8931	12.0337	12.6899	21.0116
Length   72, alignments in bytes  1/ 7:	15.5089	13.3516	13.4187	12.1555	31.9373
Length   72, alignments in bytes  7/ 1:	15.4417	11.8782	12.0001	10.5804	20.5048
Length   72, alignments in bytes  3/ 4:	15.4828	12.4551	13.1237	12.6239	29.1805
Length   72, alignments in bytes  4/ 3:	15.4519	12.3195	12.0864	12.679	21.8768
Length   72, alignments in bytes  5/ 7:	15.5128	12.5035	13.1654	12.6852	27.5837
Length   72, alignments in bytes  7/ 5:	15.4458	11.8781	11.9895	10.5936	20.2838
Length   76, alignments in bytes  0/ 4:	14.889	11.572	11.451	12.1542	23.1799
Length   76, alignments in bytes  4/ 0:	14.384	12.4491	12.5355	10.5372	22.0511
Length   76, alignments in bytes  4/ 4:	15.194	12.1909	12.3457	10.057	21.8888
Length   76, alignments in bytes  2/ 2:	15.1893	12.2119	11.6406	12.3511	26.3473
Length   76, alignments in bytes  2/ 6:	15.4927	12.4368	12.7263	12.1281	33.8132
Length   76, alignments in bytes  6/ 2:	15.4391	13.1189	12.5566	12.561	20.4122
Length   76, alignments in bytes  1/ 7:	15.4781	12.5659	12.7357	12.1245	34.3022
