                            	generic_strncat	__strncat_avx2	__strncat_evex	__strncat_sse2_unaligned	__strncat_generic
Length 1024/   1, alignment  7/ 6, N   32:	24.0408	21.7116	22.3493	21.2766	23.7821
Length 1024/   1, alignment  6/ 7, N   32:	23.9583	21.7117	22.3518	21.2464	23.7831
Length 1024/  10, alignment  7/ 7, N   32:	23.895	21.7123	22.3501	21.2397	23.7906
Length    2/   2, alignment  0/ 2, N  128:	23.6294	21.7133	22.5634	20.5352	23.6311
Length    4/   4, alignment  0/ 0, N  128:	23.9604	21.7731	22.442	20.5132	23.8355
Length    4/   4, alignment  4/ 0, N  128:	23.9094	21.8011	22.6254	20.5105	24.1691
Length    8/   8, alignment  0/ 0, N  128:	24.0075	21.713	22.3522	20.5602	23.7526
Length    8/   8, alignment  0/ 0, N  128:	23.7935	21.7124	22.3517	20.5728	23.7537
Length   16/  16, alignment  0/ 0, N  128:	24.0945	21.8202	22.4302	21.3704	23.9056
Length   16/  16, alignment  7/ 2, N  128:	23.7887	21.8542	22.1356	21.0094	23.3036
Length   16/   4, alignment  0/ 0, N  128:	23.3503	21.3706	21.9801	20.1585	23.3166
Length   16/   4, alignment  7/ 2, N  128:	23.5742	21.3759	21.8907	20.0615	23.6004
Length   32/  32, alignment  0/ 0, N  128:	24.3834	23.8862	24.8175	23.57	24.4506
Length   32/  32, alignment  6/ 4, N  128:	28.8705	25.542	26.1821	25.7917	28.8712
Length   32/   8, alignment  0/ 0, N  128:	24.3459	22.4788	22.9927	21.9937	23.8707
Length   32/   8, alignment  6/ 4, N  128:	23.8148	22.482	23.0969	22.546	23.7767
Length   64/  64, alignment  0/ 0, N  128:	24.4291	24.2699	24.9774	24.6596	24.7656
Length   64/  64, alignment  5/ 6, N  128:	27.7079	28.295	29.4079	27.9185	27.8441
Length   64/  16, alignment  0/ 0, N  128:	27.1414	27.6177	27.0801	24.967	27.6882
Length   64/  16, alignment  5/ 6, N  128:	27.7929	28.1242	28.3268	26.8371	27.0017
Length  128/ 128, alignment  0/ 0, N  128:	25.8267	25.6829	27.3666	27.7526	26.3383
Length  128/ 128, alignment  4/ 0, N  128:	26.6049	30.1737	30.8353	31.6632	26.6569
Length  128/  32, alignment  0/ 0, N  128:	27.4456	26.2525	27.097	26.9656	27.4963
Length  128/  32, alignment  4/ 0, N  128:	27.7365	30.2765	31.0696	31.9836	27.7571
Length  256/ 256, alignment  0/ 0, N  128:	30.6811	26.524	27.096	27.9474	30.3583
Length  256/ 256, alignment  3/ 2, N  128:	32.1178	30.8933	31.7817	32.8747	32.0856
Length  256/  64, alignment  0/ 0, N  128:	26.2594	26.2049	27.0877	27.3473	26.6956
Length  256/  64, alignment  3/ 2, N  128:	29.1507	31.9691	32.4935	33.3786	29.0998
Length  512/ 512, alignment  0/ 0, N  128:	30.9009	27.6831	27.4834	35.424	31.0739
Length  512/ 512, alignment  2/ 4, N  128:	32.5441	31.5356	32.1696	39.2464	33.1274
Length  512/ 128, alignment  0/ 0, N  128:	26.9531	27.3027	28.1592	28.545	27.0202
Length  512/ 128, alignment  2/ 4, N  128:	28.9095	31.513	32.2417	32.4659	28.8935
Length 1024/1024, alignment  0/ 0, N  128:	35.462	32.6963	33.6307	49.5814	32.1145
Length 1024/1024, alignment  1/ 6, N  128:	35.0891	34.6338	34.026	51.1629	34.0758
Length 1024/ 256, alignment  0/ 0, N  128:	31.1708	27.0619	27.6776	28.5957	31.3251
Length 1024/ 256, alignment  1/ 6, N  128:	32.7815	31.446	32.8848	34.1527	33.5593
Length   16/   1, alignment  1/ 2, N  128:	25.2589	22.8993	23.5839	21.5732	25.0031
Length   16/   1, alignment  2/ 1, N  128:	24.9214	22.9477	23.5273	21.6626	24.9987
Length   16/  10, alignment  1/ 1, N  128:	24.9303	22.8938	23.5006	21.5958	24.8038
Length   32/   1, alignment  2/ 4, N  128:	24.3239	23.0063	23.7276	23.0836	24.3818
Length   32/   1, alignment  4/ 2, N  128:	24.38	22.913	23.6107	22.9954	24.3193
Length   32/  10, alignment  2/ 2, N  128:	24.3589	23.0077	23.6541	23.0631	24.1595
Length   64/   1, alignment  3/ 6, N  128:	27.0117	25.9193	26.5997	25.1111	27.0462
Length   64/   1, alignment  6/ 3, N  128:	26.9324	26.5083	27.1791	25.219	26.9069
Length   64/  10, alignment  3/ 3, N  128:	27.052	25.9214	26.7133	25.1682	27.0114
Length  128/   1, alignment  4/ 0, N  128:	27.7258	28.1002	28.7375	29.5345	28.4946
Length  128/   1, alignment  0/ 4, N  128:	28.2084	28.2946	28.9378	28.3068	28.2768
Length  128/  10, alignment  4/ 4, N  128:	28.4795	29.4111	30.7633	31.4637	28.568
Length  256/   1, alignment  5/ 2, N  128:	28.976	29.4069	30.1438	31.7934	28.9117
Length  256/   1, alignment  2/ 5, N  128:	29.0225	30.2222	31.5086	30.9022	27.7714
Length  256/  10, alignment  5/ 5, N  128:	28.155	29.046	29.5172	31.1273	28.5394
Length  512/   1, alignment  6/ 4, N  128:	28.329	30.1295	30.711	31.7772	28.3883
Length  512/   1, alignment  4/ 6, N  128:	28.5234	29.847	30.2293	31.2261	28.9406
Length  512/  10, alignment  6/ 6, N  128:	28.3802	29.7133	30.0583	31.5551	29.098
Length 1024/   1, alignment  7/ 6, N  128:	29.0139	26.4897	26.7911	28.499	28.9601
Length 1024/   1, alignment  6/ 7, N  128:	28.848	29.7631	30.0589	31.9486	28.4818
Length 1024/  10, alignment  7/ 7, N  128:	28.4278	29.7117	30.0573	31.5339	27.8211
Length    2/   2, alignment  0/ 2, N  512:	23.6823	21.7149	22.7402	20.5703	23.6794
Length    4/   4, alignment  0/ 0, N  512:	23.9881	21.8472	22.5322	20.5754	23.8732
Length    4/   4, alignment  4/ 0, N  512:	23.9428	21.801	22.624	20.7673	24.3298
Length    8/   8, alignment  0/ 0, N  512:	24.2335	22.0219	22.4424	20.5631	24.1612
Length    8/   8, alignment  0/ 0, N  512:	23.8003	21.712	22.3492	20.5705	23.7984
Length   16/  16, alignment  0/ 0, N  512:	23.7828	21.8181	22.3896	21.3671	23.8747
Length   16/  16, alignment  7/ 2, N  512:	23.6818	21.8557	22.4319	21.5353	23.8481
Length   16/   4, alignment  0/ 0, N  512:	23.7862	21.8571	22.4312	20.6184	23.6055
Length   16/   4, alignment  7/ 2, N  512:	23.1084	21.3074	21.9851	20.435	24.2319
Length   32/  32, alignment  0/ 0, N  512:	24.5245	23.6304	24.6717	23.5053	24.4152
Length   32/  32, alignment  6/ 4, N  512:	28.8643	25.5443	26.3429	26.0259	28.256
Length   32/   8, alignment  0/ 0, N  512:	23.3395	22.0526	22.7585	22.1047	23.7742
Length   32/   8, alignment  6/ 4, N  512:	23.8378	22.4834	23.1995	22.5443	23.7194
Length   64/  64, alignment  0/ 0, N  512:	24.4506	24.2752	24.9468	24.735	24.3804
Length   64/  64, alignment  5/ 6, N  512:	27.7165	28.3479	29.2723	27.779	27.8676
Length   64/  16, alignment  0/ 0, N  512:	27.0091	27.6233	26.754	24.4302	27.1087
Length   64/  16, alignment  5/ 6, N  512:	26.9866	27.6705	28.3534	26.8292	27.1768
Length  128/ 128, alignment  0/ 0, N  512:	26.4386	25.7116	26.7393	29.0169	26.8914
Length  128/ 128, alignment  4/ 0, N  512:	26.9488	28.5292	29.2849	31.6224	26.9784
Length  128/  32, alignment  0/ 0, N  512:	28.1646	26.2674	26.947	29.0038	28.119
Length  128/  32, alignment  4/ 0, N  512:	28.3417	31.282	32.0086	31.9801	28.1997
Length  256/ 256, alignment  0/ 0, N  512:	35.2893	30.1216	30.863	32.1755	36.4677
Length  256/ 256, alignment  3/ 2, N  512:	39.687	35.7905	35.9002	37.3963	39.5239
Length  256/  64, alignment  0/ 0, N  512:	33.1583	31.1375	31.4866	32.7576	33.1557
Length  256/  64, alignment  3/ 2, N  512:	36.5687	35.0811	35.7168	37.1718	36.4161
Length  512/ 512, alignment  0/ 0, N  512:	41.955	33.462	34.7031	48.9276	42.0979
Length  512/ 512, alignment  2/ 4, N  512:	52.5554	44.7226	45.9345	55.2525	51.1144
Length  512/ 128, alignment  0/ 0, N  512:	40.8344	33.707	34.8449	39.3406	40.556
Length  512/ 128, alignment  2/ 4, N  512:	47.3821	44.6149	45.384	49.2266	47.1282
Length 1024/1024, alignment  0/ 0, N  512:	46.8412	41.242	42.9077	61.3096	46.7083
